"sub","countergroup","condition","perf","dvtype","time","intensity","load"
101,"B","pre_active_2B_RT",747.3333333,"rt","pre","active","2B"
105,"B","pre_active_2B_RT",691.547619,"rt","pre","active","2B"
106,"C","pre_active_2B_RT",753.9512195,"rt","pre","active","2B"
108,"A","pre_active_2B_RT",827.5952381,"rt","pre","active","2B"
111,"C","pre_active_2B_RT",646.195122,"rt","pre","active","2B"
114,"D","pre_active_2B_RT",845.3333333,"rt","pre","active","2B"
115,"B","pre_active_2B_RT",836.0465116,"rt","pre","active","2B"
116,"C","pre_active_2B_RT",670.6666667,"rt","pre","active","2B"
117,"D","pre_active_2B_RT",645.5,"rt","pre","active","2B"
102,"C","pre_active_2B_RT",684.4565217,"rt","pre","active","2B"
103,"D","pre_active_2B_RT",719.1111111,"rt","pre","active","2B"
104,"A","pre_active_2B_RT",853.5714286,"rt","pre","active","2B"
107,"D","pre_active_2B_RT",715.7391304,"rt","pre","active","2B"
109,"B","pre_active_2B_RT",801.826087,"rt","pre","active","2B"
110,"C","pre_active_2B_RT",735.4736842,"rt","pre","active","2B"
112,"D","pre_active_2B_RT",703.2666667,"rt","pre","active","2B"
123,"B","pre_active_2B_RT",857.9736842,"rt","pre","active","2B"
124,"B","pre_active_2B_RT",629.804878,"rt","pre","active","2B"
125,"C","pre_active_2B_RT",621.4285714,"rt","pre","active","2B"
126,"A","pre_active_2B_RT",739.0645161,"rt","pre","active","2B"
127,"D","pre_active_2B_RT",1279.578947,"rt","pre","active","2B"
128,"A","pre_active_2B_RT",1000.833333,"rt","pre","active","2B"
129,"B","pre_active_2B_RT",739.5,"rt","pre","active","2B"
130,"C","pre_active_2B_RT",690.625,"rt","pre","active","2B"
100,"A","post_active_2B_RT",606.7659574,"rt","post","active","2B"
101,"B","post_active_2B_RT",663.5833333,"rt","post","active","2B"
105,"B","post_active_2B_RT",672.2954545,"rt","post","active","2B"
106,"C","post_active_2B_RT",837.0666667,"rt","post","active","2B"
108,"A","post_active_2B_RT",771.7096774,"rt","post","active","2B"
111,"C","post_active_2B_RT",691.8695652,"rt","post","active","2B"
114,"D","post_active_2B_RT",797.2083333,"rt","post","active","2B"
115,"B","post_active_2B_RT",654.787234,"rt","post","active","2B"
116,"C","post_active_2B_RT",643.8333333,"rt","post","active","2B"
117,"D","post_active_2B_RT",563.7021277,"rt","post","active","2B"
102,"C","post_active_2B_RT",671.7708333,"rt","post","active","2B"
103,"D","post_active_2B_RT",752.2708333,"rt","post","active","2B"
104,"A","post_active_2B_RT",791.8666667,"rt","post","active","2B"
107,"D","post_active_2B_RT",644.8125,"rt","post","active","2B"
109,"B","post_active_2B_RT",708.2888889,"rt","post","active","2B"
110,"C","post_active_2B_RT",637.0789474,"rt","post","active","2B"
112,"D","post_active_2B_RT",590.0869565,"rt","post","active","2B"
123,"B","post_active_2B_RT",799.5581395,"rt","post","active","2B"
124,"B","post_active_2B_RT",647.2173913,"rt","post","active","2B"
125,"C","post_active_2B_RT",621.3170732,"rt","post","active","2B"
126,"A","post_active_2B_RT",660.212766,"rt","post","active","2B"
127,"D","post_active_2B_RT",1284.560976,"rt","post","active","2B"
128,"A","post_active_2B_RT",994.7804878,"rt","post","active","2B"
129,"B","post_active_2B_RT",720.45,"rt","post","active","2B"
130,"C","post_active_2B_RT",635.5227273,"rt","post","active","2B"
